feature fc p p.adj threshold is_annotate
Track:R 1.16095212359725 0.115109280706322 0.350809236438315 0 0
Track:T 0.816980439336606 0.0507991516828575 0.25008813136176 0 0
Pol2 0.687366250508679 0.0855078041266519 0.288026287584512 0 0
Track:TSS 0.601509575499958 0.0383488896824913 0.223120812698131 0 0
ELF1 0.565802455102698 0.0661406161721116 0.259075967601509 0 0
Oct-2 0.499628370998539 0.0315128013059889 0.223120812698131 0 0
POU2F2 0.499628370998539 0.0315128013059889 0.223120812698131 0 0
PAX5 0.448227177300173 0.0324752751005967 0.223120812698131 0 0
TCF12 0.456397236266358 0.0431860300514429 0.230325493607695 0 0
ZEB1 0.421076496123552 0.0355944328389225 0.223120812698131 0 0
YY1 0.72126768157386 0.377644547773932 0.863187537768987 0 0
CHD2 0.143511359550115 0.00033261611785806 0.0212874315429158 2 1
EBF1 0.924003131679942 1 1 0 0
Egr-1 0.461625141170275 0.0622065963491452 0.259075967601509 0 0
Track:E 1.76908606128483 0.031303961722784 0.223120812698131 0 0
SP1 0.269665321262895 0.0157793878513683 0.223120812698131 0 0
Sin3Ak-20 0.549229545909818 0.179866870825342 0.500499118818343 0 0
SRF 0.417217692066613 0.101344596521151 0.324302708867683 0 0
CTCF 1.25234865950885 0.475332183049277 0.96094596861728 0 0
Znf143 0.733039739927036 0.569969415454216 0.982416153791276 0 0
PU 0.641743558360355 0.432982460302681 0.95554749859902 0 0
SMC3 1.05101260805896 0.846492061478639 1 0 0
TBP 0.134443605025697 0.011709219888138 0.223120812698131 0 0
Track:CTCF 1.44736259890086 0.317424269172849 0.812606129082493 0 0
GABP 0 0.00321037767787607 0.102732085692034 0 0
RXRA 0.302837304455118 0.0823551728357377 0.288026287584512 0 0
MEF2A 1.06992515529319 0.8344914126331 1 0 0
Rad21 1.85155743781433 0.0688170538941508 0.259075967601509 0 0
BATF 1.09250114195409 0.832455427960212 1 0 0
BCL11A 0.794151813756027 0.828549787767918 1 0 0
BCL3 0.519395557841932 0.359204203293887 0.851447000400325 0 0
Nrf1 0.519395557841932 0.359204203293887 0.851447000400325 0 0
EBF 0.69381856825328 0.649976375019422 1 0 0
SIX5 0.362663608766243 0.229148000895538 0.611061335721435 0 0
TAF1 0.573245115338844 0.47309697711275 0.96094596861728 0 0
Track:WE 1.15290802584467 0.646484223750711 1 0 0
Pbx3 0.200768017782057 0.122205648733618 0.355507341770525 0 0
IRF4 1.01131545117606 1 1 0 0
USF2 0 0.0272801461756134 0.223120812698131 0 0
BCLAF1 0.699870468161192 0.792142177489963 1 0 0
USF-1 0.746900942865058 0.791243910655535 1 0 0
NFKB 1.33935574418574 0.58330959131357 0.982416153791276 0 0
Track:PF 0.532786341967943 0.57083378475785 0.982416153791276 0 0
RFX5 0 0.0649500057594919 0.259075967601509 0 0
ETS1 0.338936376337518 0.51050254582793 0.96094596861728 0 0
WHIP 0.355165029880596 0.504994198081391 0.96094596861728 0 0
MEF2C 0.392746669068487 0.501434431868655 0.96094596861728 0 0
p300 0.879896340273299 1 1 0 0
ZBTB33 0.574864585259782 1 1 0 0
NRSF 1.36179859314226 0.659579150017856 1 0 0
BRCA1 0 0.618413506312389 1 0 0
ATF3 0.747861444329417 1 1 0 0
STAT3 0 1 1 0 0
c-Fos 0 1 1 0 0
TR4 1.49736859267211 0.529064676312299 0.967432550971061 0 0
JunD 0 1 1 0 0
IRF3 0 1 1 0 0
GCN5 0 1 1 0 0
Max 0 1 1 0 0
NF-E2 0 1 1 0 0
