label	height_fc	p.adj	imped_fc	threshold	is_annotate
IBD	2.769637737	9.20E-05	1.850851368	1	1
Crohns	2.546234167	0.000554667	1.728641821	1	1
UC	3.121597638	0.000554667	1.768494413	1	1
Afib	3.324987468	0.00455726	1.884671961	1	1
MS	3.2159282	0.005877413	1.977310642	1	1
DM2	2.526266858	0.024386046	1.087454579	1	1
Lympho%	1.585257531	0.02682886	1.362270891	1	1
Baso%	1.848512091	0.083568664	1.470730414	0	0
MPV	1.414458369	0.092600447	1.215564362	0	0
DM1	3.172662854	0.092600447	1.689821205	0	0
Plt	1.358111617	0.162134603	1.167134811	0	0
Neut%	1.349501902	0.266018684	1.159696819	0	0
Ank_Spond	2.033591642	0.27131704	1.424408984	0	0
PBC	2.032610613	0.27131704	1.364079675	0	0
SV_Stroke	8.477782695	0.385396153	3.822000086	0	0
Coeliac	1.739350687	0.48881377	1.481413997	0	0
Pulse_rate	1.912566464	0.535253523	1.330223798	0	0
Risk_taking	2.586391469	0.580684718	8.749989684	0	0
Neut	1.209073318	0.580684718	1.03909805	0	0
Prostate_Ca	1.424457005	0.580684718	1.46743284	0	0
Plt_DW	1.189684999	0.580684718	1.022407865	0	0
RBCC	1.184813365	0.580684718	1.018215518	0	0
CAD	1.51834703	0.580684718	0.785177196	0	0
Plt_crit	1.164374705	0.581045813	1.000645048	0	0
CAD	1.274358072	0.581045813	0.80993462	0	0
Isch_Stroke	2.242496709	0.614982482	1.744285636	0	0
Parent_longevity	3.67445288	0.711111111	3.67445288	0	0
Depression	1.351985366	0.964939753	1.010683308	0	0
Asthma	1.146986477	1	0.821495726	0	0
Weight	1.078683906	1	0.927031996	0	0
Stroke	1.406855345	1	0.667946922	0	0
Isch_Stroke	1.184031325	1	2.12232438	0	0
Psoriasis	1.195518739	1	0.520911928	0	0
DBP	1.014074663	1	0.871489791	0	0
Emb_Stroke	0	1	0	0	0
Stroke	0	1	0	0	0
JIA	0.211574169	1	0.249500073	0	0
Breast_Ca	0.512095934	1	0.440109267	0	0
MCHC	0.692457139	1	0.584205172	0	0
PEF	0.718768944	1	0.482213839	0	0
Pulse_rate_auto	0.773490359	1	0.664766086	0	0
SBP	0.783586175	1	0.673437644	0	0
Asthma	0.789368181	1	0.549964768	0	0
Hb	0.824038423	1	0.70818061	0	0
HCT	0.853467416	1	0.733478743	0	0
BMI	0.857435636	1	0.736887316	0	0
FEV1	0.892438398	1	0.766976036	0	0
FVC	0.920915269	1	0.791443341	0	0
RA	0.935980074	1	0.875465844	0	0
BMD	0.953636423	1	0.819576693	0	0
ALS	0.956270609	1	1.685331834	0	0
SLE	0.979953346	1	0.84276335	0	0
Hip_circ	0.993095408	1	0.853468095	0	0
Alzheimers	1.132630727	1	0.350154973	0	0
