ID	CHR	P1	TWAS.P	cond.sig	unique	gene	twas.fdr.sig	novel
ENSG00000100321	22	39772100	4.10E-07	1	0	SYNGR1	1	0
ENSG00000116793	1	114240142	5.92E-06	1	0	PHTF1	1	0
ENSG00000169682	16	28995800	2.85E-05	1	0	SPNS1	1	1
ENSG00000153066	16	11773300	3.88E-05	1	0	TXNDC11	1	0
ENSG00000168515	11	61957714	6.44E-05	1	NA	SCGB1D1	1	1
ENSG00000170989	1	101706255	1.44E-04	1	1	S1PR1	0	NA
ENSG00000087253	16	55616932	1.93E-04	1	0	LPCAT2	0	NA
ENSG00000161395	17	37827512	0.000199	1	0	PGAP3	0	NA
ENSG00000117500	1	93617763	2.18E-04	0	1	TMED5	0	NA
ENSG00000123297	12	58190196	0.000246	1	NA	TSFM	0	NA
ENSG00000133789	11	9773105	2.48E-04	1	0	SWAP70	0	NA
ENSG00000145723	5	102421739	0.00025	1	0	GIN1	0	NA
ENSG00000118655	1	114456154	2.52E-04	0	0	DCLRE1B	0	NA
ENSG00000172057	17	38077547	0.000261	0	0	ORMDL3	0	NA
ENSG00000020922	11	94179002	3.42E-04	0	0	MRE11	0	NA
ENSG00000128604	7	128589570	0.000366	0	0	IRF5	0	NA
ENSG00000177646	3	128631728	0.000397	0	0	ACAD9	0	NA
ENSG00000149485	11	61567412	4.35E-04	0	0	FADS1	0	NA
ENSG00000160716	1	154548821	4.91E-04	0	1	CHRNB2	0	NA
ENSG00000122188	1	203745068	4.98E-04	0	0	LAX1	0	NA
ENSG00000109689	4	27026660	0.000547	0	1	STIM2	0	NA
ENSG00000157873	1	2495103	6.16E-04	0	0	TNFRSF14	0	NA
ENSG00000163297	4	80826961	0.000655	0	0	ANTXR2	0	NA
ENSG00000213658	16	29001718	7.22E-04	0	1	LAT	0	NA
ENSG00000117505	1	93827578	7.26E-04	0	0	DR1	0	NA
ENSG00000168135	22	38822471	7.88E-04	0	0	KCNJ4	0	NA
ENSG00000074071	16	1822972	8.40E-04	0	1	MRPS34	0	NA
ENSG00000160714	1	154521169	8.75E-04	0	0	UBE2Q1	0	NA
ENSG00000226752	9	123616210	0.00103	0	NA	CUTALP	0	NA
ENSG00000162614	1	78408661	1.05E-03	0	NA	NEXN	0	NA
ENSG00000185651	22	21978188	1.12E-03	0	0	UBE2L3	0	NA
ENSG00000108559	17	5290038	0.001256	0	0	NUP88	0	NA
ENSG00000015153	12	42550940	0.001351	0	0	YAF2	0	NA
ENSG00000142188	21	34811552	0.00148	0	0	TMEM50B	0	NA
ENSG00000240344	2	201735780	0.00153	0	0	PPIL3	0	NA
ENSG00000134539	12	10466050	0.00153	0	1	KLRD1	0	NA
ENSG00000171159	9	130925936	0.0016	0	NA	C9orf16	0	NA
ENSG00000150347	10	63856257	0.00162	0	1	ARID5B	0	NA
ENSG00000170776	15	86291971	0.00168	0	0	AKAP13	0	NA
ENSG00000160856	1	157648043	1.85E-03	0	0	FCRL3	0	NA
ENSG00000171488	1	90180078	2.02E-03	0	0	LRRC8C	0	NA
ENSG00000116191	1	178790775	2.30E-03	0	NA	RALGPS2	0	NA
ENSG00000152291	2	85545438	0.00235	0	0	TGOLN2	0	NA
ENSG00000157601	21	42831051	0.00243	0	0	MX1	0	NA
ENSG00000086504	16	417631	2.45E-03	0	1	MRPL28	0	NA
ENSG00000168071	11	64124519	2.62E-03	0	0	CCDC88B	0	NA
ENSG00000129925	16	422151	2.67E-03	0	0	TMEM8A	0	NA
ENSG00000246560	4	103764805	0.002795	0	0	UBE2D3-AS1	0	NA
ENSG00000111371	12	46581917	0.00281	0	0	SLC38A1	0	NA
ENSG00000148700	10	111895189	0.00286	0	1	ADD3	0	NA
ENSG00000073605	17	38060972	0.002988	0	0	GSDMB	0	NA
ENSG00000022840	12	121015109	0.003007	0	0	RNF10	0	NA
ENSG00000100221	22	39081732	3.04E-03	0	NA	JOSD1	0	NA
ENSG00000185880	15	45024751	0.00314	0	0	TRIM69	0	NA
ENSG00000122484	1	92853499	3.25E-03	0	0	RPAP2	0	NA
ENSG00000167807	19	10421004	0.00327	0	NA	AC011511.1	0	NA
ENSG00000124203	20	57830890	0.0033	0	0	ZNF831	0	NA
ENSG00000246705	12	14930756	0.003636	0	NA	H2AFJ	0	NA
ENSG00000103275	16	1375112	3.64E-03	0	0	UBE2I	0	NA
ENSG00000174004	3	196388555	0.003669	0	1	NRROS	0	NA
ENSG00000123427	12	58176187	0.003714	0	0	EEF1AKMT3	0	NA
ENSG00000167325	11	4159679	3.73E-03	0	0	RRM1	0	NA
ENSG00000119640	14	75528392	0.00376	0	0	ACYP1	0	NA
ENSG00000125637	2	113960386	0.00389	0	0	PSD4	0	NA
ENSG00000077458	11	95502701	3.91E-03	0	0	FAM76B	0	NA
ENSG00000105771	19	44237523	0.00418	0	0	SMG9	0	NA
ENSG00000139055	12	15067072	0.004427	0	0	ERP27	0	NA
ENSG00000250067	19	19646215	0.00444	0	NA	YJEFN3	0	NA
ENSG00000171603	1	9789250	4.45E-03	0	0	CLSTN1	0	NA
ENSG00000119718	14	75475950	0.00447	0	0	EIF2B2	0	NA
ENSG00000163902	3	128339150	0.004642	0	1	RPN1	0	NA
ENSG00000132953	13	21353456	0.00481	0	1	XPO4	0	NA
ENSG00000119711	14	74527140	0.00489	0	0	ALDH6A1	0	NA
ENSG00000148396	9	139334799	0.00497	0	0	SEC16A	0	NA
ENSG00000095015	5	56191722	0.00543	0	NA	MAP3K1	0	NA
ENSG00000197696	15	85200434	0.00584	0	0	NMB	0	NA
ENSG00000148180	9	124091199	0.00589	0	NA	GSN	0	NA
ENSG00000170128	1	200842897	6.11E-03	0	NA	GPR25	0	NA
ENSG00000148384	9	139323313	0.00612	0	0	INPP5E	0	NA
ENSG00000119725	14	74398448	0.00622	0	0	ZNF410	0	NA
ENSG00000160613	11	117075987	6.40E-03	0	0	PCSK7	0	NA
ENSG00000213246	17	56422818	0.006991	0	0	SUPT4H1	0	NA
ENSG00000100461	14	23370258	0.007	0	0	RBM23	0	NA
ENSG00000160185	21	43867331	0.00703	0	NA	UBASH3A	0	NA
ENSG00000145247	4	48896024	0.007048	0	0	OCIAD2	0	NA
ENSG00000106348	7	128033000	0.007147	0	0	IMPDH1	0	NA
ENSG00000145730	5	102365134	0.00739	0	1	PAM	0	NA
ENSG00000167815	19	12911974	0.00747	0	0	PRDX2	0	NA
ENSG00000111786	12	120899823	0.007492	0	NA	SRSF9	0	NA
ENSG00000153201	2	109400828	0.00755	0	NA	RANBP2	0	NA
ENSG00000101773	18	20602133	0.00763	0	NA	RBBP8	0	NA
ENSG00000133985	14	71140919	0.00766	0	0	TTC9	0	NA
ENSG00000115073	2	98272657	0.00799	0	0	ACTR1B	0	NA
ENSG00000108523	17	4848399	0.008414	0	0	RNF167	0	NA
ENSG00000108039	10	111624651	0.00856	0	0	XPNPEP1	0	NA
ENSG00000132768	1	44438893	8.87E-03	0	0	DPH2	0	NA
ENSG00000132481	17	73870442	0.008897	0	1	AC087289.1	0	NA
ENSG00000144401	2	208474302	0.00935	0	0	METTL21A	0	NA
ENSG00000198890	1	107601433	9.42E-03	0	0	PRMT6	0	NA
ENSG00000108175	10	81075921	0.00945	0	1	ZMIZ1	0	NA
ENSG00000198771	1	167675043	9.47E-03	0	0	RCSD1	0	NA
