ID	CHR	P1	TWAS.P	cond.sig	unique	gene	twas.fdr.sig	novel
ENSG00000081985	1	67862150	7.52E-27	1	0	IL12RB2	1	0
ENSG00000100321	22	39772100	2.64E-12	1	0	SYNGR1	1	0
ENSG00000172057	17	38077547	9.03E-09	1	0	ORMDL3	1	0
ENSG00000073605	17	38060972	1.06E-08	0	0	GSDMB	1	0
ENSG00000168071	11	64124519	2.68E-07	1	0	CCDC88B	1	0
ENSG00000111321	12	6500451	6.01E-07	1	0	LTBR	1	0
ENSG00000145214	4	952814	1.09E-06	1	0	DGKQ	1	1
ENSG00000138386	2	191557031	3.97E-06	1	1	NAB1	1	0
ENSG00000181666	19	37855238	4.90E-06	1	0	HKR1	1	1
ENSG00000204650	17	43715125	5.03E-06	1	NA	LINC02210	1	1
ENSG00000160856	1	157648043	5.34E-06	1	0	FCRL3	1	1
ENSG00000246560	4	103764805	6.85E-06	1	0	UBE2D3-AS1	1	0
ENSG00000152611	5	35938793	9.81E-06	1	NA	CAPSL	1	0
ENSG00000113810	3	160152343	1.46E-05	1	0	SMC4	1	0
ENSG00000173113	11	64084768	1.56E-05	0	1	TRMT112	1	0
ENSG00000123297	12	58190196	2.37E-05	1	NA	TSFM	1	1
ENSG00000105939	7	138745514	4.19E-05	1	0	ZC3HAV1	1	1
ENSG00000150637	18	67530611	5.66E-05	1	1	CD226	1	1
ENSG00000256427	12	9408153	7.77E-05	1	1	AC010175.1	1	1
ENSG00000115138	2	25383951	1.34E-04	1	1	POMC	1	1
ENSG00000196967	19	37663562	1.56E-04	0	0	ZNF585A	1	1
ENSG00000128604	7	128589570	1.74E-04	1	0	IRF5	1	0
ENSG00000152128	2	135213864	1.94E-04	1	1	TMEM163	1	1
ENSG00000005844	16	30534364	0.000206	1	0	ITGAL	1	1
ENSG00000175643	16	11445185	0.000215	1	1	RMI2	1	0
ENSG00000079805	19	10942221	2.15E-04	1	1	DNM2	1	0
ENSG00000067191	17	37342218	2.75E-04	0	NA	CACNB1	1	0
ENSG00000123427	12	58176187	2.83E-04	0	0	EEF1AKMT3	1	1
ENSG00000135452	12	58141872	3.23E-04	0	0	TSPAN31	1	1
ENSG00000151690	2	191366372	3.47E-04	0	1	MFSD6	1	0
ENSG00000106348	7	128033000	3.86E-04	0	0	IMPDH1	1	0
ENSG00000143153	1	169101470	4.46E-04	0	1	ATP1B1	1	1
ENSG00000142444	19	11040560	4.85E-04	0	0	TIMM29	1	0
ENSG00000088766	20	6015110	0.000502	0	1	CRLS1	1	1
ENSG00000109323	4	103552938	5.42E-04	0	0	MANBA	1	0
ENSG00000161395	17	37827512	6.06E-04	0	0	PGAP3	0	NA
ENSG00000164308	5	96249064	7.81E-04	0	0	ERAP2	0	NA
ENSG00000141098	16	67708466	0.000811	0	0	GFOD2	0	NA
ENSG00000015153	12	42550940	8.20E-04	0	0	YAF2	0	NA
ENSG00000168685	5	35876484	8.78E-04	0	0	IL7R	0	NA
ENSG00000157873	1	2495103	9.03E-04	0	0	TNFRSF14	0	NA
ENSG00000167261	16	68021410	0.000943	0	0	DPEP2	0	NA
ENSG00000115607	2	103068861	9.75E-04	0	1	IL18RAP	0	NA
ENSG00000132600	16	68386262	0.000978	0	0	PRMT7	0	NA
ENSG00000231177	3	10327013	1.06E-03	0	0	LINC00852	0	NA
ENSG00000174516	11	66244504	1.12E-03	0	NA	PELI3	0	NA
ENSG00000213047	1	197474085	1.27E-03	0	1	DENND1B	0	NA
ENSG00000144741	3	66428113	1.27E-03	0	1	SLC25A26	0	NA
ENSG00000159692	4	1205424	1.27E-03	0	0	CTBP1	0	NA
ENSG00000124203	20	57830890	0.001747	0	0	ZNF831	0	NA
ENSG00000111912	6	126251864	0.00176	0	1	NCOA7	0	NA
ENSG00000198270	12	112369440	1.78E-03	0	0	TMEM116	0	NA
ENSG00000164024	4	99983570	1.85E-03	0	NA	METAP1	0	NA
ENSG00000129351	19	10795226	1.85E-03	0	0	ILF3	0	NA
ENSG00000102981	16	67696578	0.001921	0	NA	PARD6A	0	NA
ENSG00000196968	10	75535621	0.00198	0	1	FUT11	0	NA
ENSG00000198715	1	156262581	2.00E-03	0	0	GLMP	0	NA
ENSG00000198089	22	32014163	2.00E-03	0	NA	SFI1	0	NA
ENSG00000122515	7	44809287	2.08E-03	0	0	ZMIZ2	0	NA
ENSG00000144026	2	95813776	2.09E-03	0	0	ZNF514	0	NA
ENSG00000135929	2	219679666	2.19E-03	0	0	CYP27A1	0	NA
ENSG00000166821	15	90226436	0.00228	0	1	PEX11A	0	NA
