ID	CHR	P1	TWAS.P	cond.sig	unique	gene	twas.fdr.sig	novel
ENSG00000091140	7	107559739	6.26E-13	1	1	DLD	1	0
ENSG00000164062	3	49720733	3.36E-11	1	0	APEH	1	0
ENSG00000114316	3	49315099	8.53E-10	0	0	USP4	1	0
ENSG00000157873	1	2495103	5.44E-09	1	0	TNFRSF14	1	0
ENSG00000172057	17	38077547	2.84E-07	1	0	ORMDL3	1	0
ENSG00000004534	3	50114458	4.50E-07	0	0	RBM6	1	0
ENSG00000148384	9	139323313	1.04E-06	1	0	INPP5E	1	0
ENSG00000182179	3	49842666	1.20E-06	0	0	UBA7	1	0
ENSG00000073605	17	38060972	1.52E-06	0	0	GSDMB	1	0
ENSG00000184939	16	68600923	1.72E-06	1	0	ZFP90	1	0
ENSG00000148396	9	139334799	2.11E-06	0	0	SEC16A	1	0
ENSG00000188820	6	116784646	4.77E-06	1	1	CALHM6	1	0
ENSG00000165689	9	139297077	5.44E-06	0	1	ENTR1	1	0
ENSG00000116288	1	8045045	1.04E-05	1	0	PARK7	1	0
ENSG00000128604	7	128589570	1.41E-05	1	0	IRF5	1	0
ENSG00000121274	16	50263269	4.81E-05	1	0	TENT4B	1	0
ENSG00000242372	20	33866973	5.85E-05	1	1	EIF6	1	1
ENSG00000102882	16	30125583	7.52E-05	1	0	MAPK3	1	0
ENSG00000117054	1	76226858	1.07E-04	1	0	ACADM	1	1
ENSG00000126005	20	33865017	1.12E-04	0	0	MMP24OS	1	1
ENSG00000136240	7	6502703	1.20E-04	1	0	KDELR2	1	0
ENSG00000173209	2	61413752	1.22E-04	1	NA	AHSA2P	1	0
ENSG00000145020	3	49454323	1.43E-04	0	0	AMT	1	0
ENSG00000161395	17	37827512	1.91E-04	0	0	PGAP3	1	0
ENSG00000185651	22	21978188	2.13E-04	1	0	UBE2L3	1	0
ENSG00000197457	20	62271162	2.86E-04	1	0	STMN3	1	0
ENSG00000100300	22	43559143	2.96E-04	1	0	TSPO	1	1
ENSG00000005844	16	30534364	2.98E-04	1	0	ITGAL	1	0
ENSG00000146232	6	44225967	3.59E-04	1	0	NFKBIE	1	1
ENSG00000169242	1	155107215	3.63E-04	0	NA	EFNA1	1	0
ENSG00000124203	20	57830890	4.09E-04	1	0	ZNF831	1	0
ENSG00000106077	7	73152700	4.60E-04	0	1	ABHD11	1	1
ENSG00000196730	9	90322817	5.46E-04	0	0	DAPK1	1	1
ENSG00000081985	1	67862150	6.02E-04	0	0	IL12RB2	0	NA
ENSG00000132405	4	7034491	6.13E-04	0	0	TBC1D14	0	NA
ENSG00000153774	16	75338941	6.99E-04	0	0	CFDP1	0	NA
ENSG00000150527	14	39820490	7.69E-04	0	0	MIA2	0	NA
ENSG00000115816	2	37428989	7.87E-04	0	0	CEBPZ	0	NA
ENSG00000225697	3	48663186	8.03E-04	0	NA	SLC26A6	0	NA
ENSG00000163395	1	201197730	8.23E-04	0	NA	IGFN1	0	NA
ENSG00000203896	20	62370404	8.72E-04	0	0	LIME1	0	NA
ENSG00000177628	1	155204987	8.86E-04	0	0	GBA	0	NA
ENSG00000022556	19	55508747	9.25E-04	0	0	NLRP2	0	NA
ENSG00000117597	1	210030453	1.09E-03	0	0	UTP25	0	NA
ENSG00000197375	5	131730958	1.17E-03	0	0	SLC22A5	0	NA
ENSG00000144741	3	66428113	1.22E-03	0	1	SLC25A26	0	NA
ENSG00000112977	5	10679623	0.00131	0	0	DAP	0	NA
ENSG00000101000	20	33764878	1.36E-03	0	1	PROCR	0	NA
ENSG00000099985	22	30658990	1.46E-03	0	1	OSM	0	NA
ENSG00000244462	20	34240512	1.49E-03	0	1	RBM12	0	NA
ENSG00000151694	2	9630478	0.00163	0	0	ADAM17	0	NA
ENSG00000173992	11	66373369	1.77E-03	0	0	CCS	0	NA
ENSG00000115607	2	103068861	1.91E-03	0	1	IL18RAP	0	NA
ENSG00000078369	1	1716837	2.07E-03	0	NA	GNB1	0	NA
ENSG00000214253	7	100883088	2.07E-03	0	0	FIS1	0	NA
ENSG00000131943	19	30192941	2.23E-03	0	0	C19orf12	0	NA
ENSG00000047662	4	17634173	2.25E-03	0	NA	FAM184B	0	NA
ENSG00000120158	9	4860648	2.28E-03	0	0	RCL1	0	NA
ENSG00000073584	17	38784121	2.31E-03	0	0	SMARCE1	0	NA
ENSG00000215788	1	6521428	2.33E-03	0	0	TNFRSF25	0	NA
ENSG00000117450	1	45976969	2.33E-03	0	1	PRDX1	0	NA
ENSG00000106617	7	151254267	2.34E-03	0	0	PRKAG2	0	NA
ENSG00000014919	10	101473418	0.00234	0	NA	COX15	0	NA
ENSG00000213658	16	29001718	2.57E-03	0	1	LAT	0	NA
