ID	CHR	P1	TWAS.P	cond.sig	unique	gene	twas.fdr.sig	novel
ENSG00000197375	5	131730958	1.75E-15	1	0	SLC22A5	1	0
ENSG00000181915	10	64568038	3.18E-15	1	0	ADO	1	0
ENSG00000145020	3	49454323	9.71E-13	1	0	AMT	1	0
ENSG00000165689	9	139297077	5.07E-12	1	1	ENTR1	1	0
ENSG00000026297	6	167343077	6.66E-12	1	0	RNASET2	1	0
ENSG00000164062	3	49720733	9.39E-12	0	0	APEH	1	0
ENSG00000164308	5	96249064	2.16E-11	1	0	ERAP2	1	0
ENSG00000071242	6	166823038	3.02E-11	0	NA	RPS6KA2	1	0
ENSG00000197457	20	62271162	1.75E-09	1	0	STMN3	1	0
ENSG00000182179	3	49842666	2.46E-09	0	0	UBA7	1	0
ENSG00000185651	22	21978188	2.91E-09	1	0	UBE2L3	1	0
ENSG00000213658	16	29001718	1.17E-08	1	1	LAT	1	0
ENSG00000121274	16	50263269	1.30E-08	1	0	TENT4B	1	0
ENSG00000099985	22	30658990	2.30E-07	1	1	OSM	1	1
ENSG00000114316	3	49315099	3.22E-07	0	0	USP4	1	0
ENSG00000108175	10	81075921	5.41E-07	1	1	ZMIZ1	1	0
ENSG00000081985	1	67862150	9.95E-07	1	0	IL12RB2	1	0
ENSG00000122873	10	60047469	3.08E-06	1	0	CISD1	1	0
ENSG00000198160	1	67453489	3.40E-06	1	0	MIER1	1	0
ENSG00000149485	11	61567412	5.94E-06	1	0	FADS1	1	0
ENSG00000085978	2	234204126	7.61E-06	1	0	ATG16L1	1	0
ENSG00000004534	3	50114458	1.49E-05	0	0	RBM6	1	0
ENSG00000169242	1	155107215	1.68E-05	1	NA	EFNA1	1	0
ENSG00000116521	1	155225851	2.14E-05	0	0	SCAMP3	1	0
ENSG00000260727	16	29624769	2.28E-05	0	NA	SLC7A5P1	1	0
ENSG00000177628	1	155204987	2.78E-05	0	0	GBA	1	0
ENSG00000163395	1	201197730	3.00E-05	1	NA	IGFN1	1	1
ENSG00000125520	20	62375161	3.29E-05	0	1	SLC2A4RG	1	0
ENSG00000186687	5	130540258	3.52E-05	1	0	LYRM7	1	0
ENSG00000257103	19	34720048	0.000057	1	0	LSM14A	1	0
ENSG00000100362	22	37209758	6.14E-05	1	0	PVALB	1	0
ENSG00000168071	11	64124519	6.19E-05	1	0	CCDC88B	1	0
ENSG00000073605	17	38060972	7.24E-05	1	0	GSDMB	1	0
ENSG00000169682	16	28995800	7.61E-05	0	0	SPNS1	1	0
ENSG00000116288	1	8045045	7.90E-05	1	0	PARK7	1	0
ENSG00000116641	1	62923209	1.09E-04	1	0	DOCK7	1	1
ENSG00000067191	17	37342218	1.09E-04	0	NA	CACNB1	1	0
ENSG00000185869	19	37398840	0.000109	1	NA	ZNF829	1	1
ENSG00000172057	17	38077547	1.10E-04	0	0	ORMDL3	1	0
ENSG00000167807	19	10421004	0.000115	1	NA	AC011511.1	1	0
ENSG00000075426	2	28637370	1.20E-04	1	0	FOSL2	1	0
ENSG00000176209	8	42407911	0.000139	1	1	SMIM19	1	1
ENSG00000168575	8	42274165	0.000164	0	0	SLC20A2	1	1
ENSG00000113441	5	96364593	1.67E-04	0	0	LNPEP	1	0
ENSG00000181666	19	37855238	0.000283	0	0	HKR1	1	1
ENSG00000009790	1	209954718	3.04E-04	0	0	TRAF3IP3	1	0
ENSG00000196968	10	75535621	3.27E-04	1	1	FUT11	1	0
ENSG00000161395	17	37827512	3.53E-04	0	0	PGAP3	1	0
ENSG00000069275	1	205687409	4.17E-04	0	0	NUCKS1	1	1
ENSG00000175711	17	80901863	4.32E-04	0	0	B3GNTL1	1	1
ENSG00000137486	11	74976736	4.64E-04	0	NA	ARRB1	1	1
ENSG00000143537	1	155032770	4.75E-04	0	0	ADAM15	1	0
ENSG00000158985	5	130730009	5.87E-04	0	0	CDC42SE2	1	0
ENSG00000183784	9	213618	6.29E-04	0	0	C9orf66	1	1
ENSG00000117595	1	209961871	6.66E-04	0	1	IRF6	1	0
ENSG00000115137	2	25166696	6.98E-04	0	1	DNAJC27	1	0
ENSG00000196967	19	37663562	0.000724	0	0	ZNF585A	1	1
ENSG00000203896	20	62370404	7.47E-04	0	0	LIME1	1	0
ENSG00000204650	17	43715125	8.35E-04	0	NA	LINC02210	1	1
ENSG00000198453	19	37487301	0.000856	0	1	ZNF568	1	1
ENSG00000011566	2	39477820	1.04E-03	0	NA	MAP4K3	0	NA
ENSG00000050405	12	50569998	0.00107	0	0	LIMA1	0	NA
ENSG00000213246	17	56422818	1.08E-03	0	0	SUPT4H1	0	NA
ENSG00000198108	5	129522069	1.11E-03	0	1	CHSY3	0	NA
ENSG00000162104	16	4012981	1.15E-03	0	0	ADCY9	0	NA
ENSG00000117500	1	93617763	1.26E-03	0	1	TMED5	0	NA
ENSG00000163346	1	154916809	1.31E-03	0	NA	PBXIP1	0	NA
ENSG00000125826	20	411499	1.31E-03	0	0	RBCK1	0	NA
ENSG00000115607	2	103068861	1.34E-03	0	1	IL18RAP	0	NA
ENSG00000155393	16	50136198	1.38E-03	0	0	HEATR3	0	NA
ENSG00000173915	10	105154020	1.39E-03	0	0	ATP5MD	0	NA
ENSG00000171408	6	136516353	1.46E-03	0	NA	PDE7B	0	NA
ENSG00000139624	12	50523893	0.00147	0	0	CERS5	0	NA
ENSG00000106952	9	117665275	1.50E-03	0	1	TNFSF8	0	NA
ENSG00000170631	8	146156017	0.001534	0	NA	ZNF16	0	NA
ENSG00000213047	1	197474085	1.60E-03	0	1	DENND1B	0	NA
ENSG00000172500	11	65651411	1.66E-03	0	0	FIBP	0	NA
ENSG00000172543	11	65651132	1.66E-03	0	0	CTSW	0	NA
ENSG00000105656	19	18553827	0.001704	0	0	ELL	0	NA
ENSG00000113742	5	173384956	1.79E-03	0	0	CPEB4	0	NA
ENSG00000249915	5	314686	2.11E-03	0	1	PDCD6	0	NA
ENSG00000117505	1	93827578	2.15E-03	0	0	DR1	0	NA
ENSG00000075884	2	144525588	2.15E-03	0	0	ARHGAP15	0	NA
ENSG00000002822	7	1937905	0.00236	0	1	MAD1L1	0	NA
ENSG00000138439	2	203634383	2.45E-03	0	0	FAM117B	0	NA
ENSG00000089177	20	16253136	2.50E-03	0	0	KIF16B	0	NA
ENSG00000158987	5	130761893	2.59E-03	0	0	RAPGEF6	0	NA
ENSG00000197043	5	150480441	2.71E-03	0	0	ANXA6	0	NA
ENSG00000125844	20	17594356	2.87E-03	0	1	RRBP1	0	NA
ENSG00000171621	1	9429362	3.05E-03	0	1	SPSB1	0	NA
ENSG00000077549	1	19665551	3.11E-03	0	NA	CAPZB	0	NA
ENSG00000049239	1	9330828	3.21E-03	0	0	H6PD	0	NA
